epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.705,0.77746,0.94536,0.97751,0.89747,0.90279,0.94089,0.84704,0.43101,0.42648,0.8245,0.000549493,0.000549493,0.000549493
2,109.005,0.52491,0.43665,0.86991,0.86774,0.86903,0.93735,0.76163,0.72061,0.58693,0.89899,0.00109422,0.00109422,0.00109422
3,141.312,0.53177,0.43206,0.87156,0.82764,0.89138,0.92165,0.80561,0.53152,0.61525,0.85225,0.00162794,0.00162794,0.00162794
4,171.667,0.50856,0.41415,0.86811,0.84244,0.88243,0.94037,0.83751,0.47924,0.50816,0.84208,0.00161749,0.00161749,0.00161749
5,202.015,0.49116,0.38704,0.86314,0.91834,0.91671,0.95636,0.8588,0.47832,0.38003,0.8351,0.00160099,0.00160099,0.00160099
6,233.463,0.46338,0.36526,0.85785,0.91224,0.9176,0.94823,0.85827,0.42482,0.35115,0.82738,0.00158448,0.00158448,0.00158448
7,264.174,0.4463,0.34912,0.85371,0.93275,0.91022,0.95798,0.85598,0.46976,0.34499,0.83127,0.00156798,0.00156798,0.00156798
8,293.583,0.43614,0.34154,0.85079,0.94839,0.92653,0.95683,0.86556,0.43783,0.32313,0.82173,0.00155148,0.00155148,0.00155148
9,323.997,0.42948,0.32742,0.84785,0.92023,0.92014,0.95021,0.86554,0.41927,0.33369,0.81922,0.00153497,0.00153497,0.00153497
10,354.344,0.4089,0.3176,0.84493,0.94962,0.92314,0.96471,0.87482,0.43062,0.30721,0.82114,0.00151847,0.00151847,0.00151847
11,385.219,0.40743,0.31534,0.84334,0.91565,0.91638,0.95628,0.86451,0.43325,0.35431,0.82008,0.00150197,0.00150197,0.00150197
12,414.389,0.38784,0.29956,0.8396,0.91135,0.91946,0.96483,0.88101,0.41018,0.35399,0.81788,0.00148546,0.00148546,0.00148546
